Date,Close/Last,Volume,Open,High,Low,newclose,newhigh,newopen
12/18/2012,$19.0679,624574190,$18.75,$19.1036,$18.5804,19.0679, 19.1036, 18.75
12/17/2012,$18.5297,756727137,$18.1761,$18.5714,$17.9011,18.5297, 18.5714, 18.1761
12/14/2012,$18.2069,1008461037,$18.3839,$18.5047,$18.0564,18.2069, 18.5047, 18.3839
12/13/2012,$18.9175,623887070,$18.9697,$19.2014,$18.7786,18.9175, 19.2014, 18.9697
12/12/2012,$19.25,486520525,$19.5632,$19.5714,$19.1525,19.25, 19.5714, 19.5632
12/11/2012,$19.3353,591282763,$19.2775,$19.6272,$19.1918,19.3353, 19.6272, 19.2775
12/10/2012,$18.9222,629910708,$18.75,$19.2325,$18.6279,18.9222, 19.2325, 18.75
12/7/2012,$19.0447,786413285,$19.7643,$19.8286,$18.9286,19.0447, 19.8286, 19.7643
12/6/2012,$19.5445,1176263009,$18.8907,$19.7611,$18.5225,19.5445, 19.7611, 18.8907
12/5/2012,$19.2426,1039211744,$20.3182,$20.3304,$19.2418,19.2426, 20.3304, 20.3182
12/4/2012,$20.5659,554848338,$20.7786,$20.7786,$20.4332,20.5659, 20.7786, 20.7786
12/3/2012,$20.9354,363645935,$21.2018,$21.2354,$20.9107,20.9354, 21.2354, 21.2018
11/30/2012,$20.9029,390488964,$20.9568,$21.0143,$20.81,20.9029, 21.0143, 20.9568
11/29/2012,$21.0486,513579155,$21.0791,$21.2232,$20.9018,21.0486, 21.2232, 21.0791
11/28/2012,$20.8193,520450632,$20.6168,$20.9214,$20.4379,20.8193, 20.9214, 20.6168
11/27/2012,$20.885,532398227,$21.0554,$21.0864,$20.7179,20.885, 21.0864, 21.0554
11/26/2012,$21.0547,628953108,$20.5679,$21.0714,$20.4897,21.0547, 21.0714, 20.5679
11/23/2012,$20.4107,272826207,$20.2561,$20.4286,$20.0929,20.4107, 20.4286, 20.2561
11/21/2012,$20.0607,372924851,$20.1518,$20.2632,$19.8786,20.0607, 20.2632, 20.1518
11/20/2012,$20.0326,642149783,$20.4254,$20.4268,$19.8064,20.0326, 20.4268, 20.4254
11/19/2012,$20.2047,821764671,$19.3111,$20.2679,$19.2814,20.2047, 20.2679, 19.3111
11/16/2012,$18.8457,1264778254,$18.7572,$18.9286,$18.0625,18.8457, 18.9286, 18.7572
11/15/2012,$18.7722,788630885,$19.1975,$19.2679,$18.665,18.7722, 19.2679, 19.1975
